player,opponent,tournament,year,round,total_points_played,aces,double_faults,first_srv_pct_in,win_pct_first_srv,win_pct_second_srv,net_points_won,break_points_won,rec_pts_won,winners,unforced_errors,total_points_won,fastest_serve,avg_1st_serve,avg_2nd_serve,short_rallies_pts_won,medium_rallies_pts_won,long_rallies_pts_won,medium_rallies_pts_played,short_rallies_pts_played,long_rallies_pts_played
S.Stephens,Ka.Pliskova,french_open,2021,2,134,2,2,54/73 (74%),37/54 (69%),7/19 (37%),5/8 (63%),6/11 (55%),33/61 (54%),22,17,77,106 mph,91 mph,79 mph,45,21,11,73,40,20
V.Lepchenko,K.Muchova,french_open,2021,2,138,2,1,50/73 (68%),34/50 (68%),6/23 (26%),11/18 (61%),0/6 (0%),22/65 (34%),19,25,62,103 mph,93 mph,78 mph,38,15,9,82,41,15
K.Muchova,V.Lepchenko,french_open,2021,2,138,1,1,37/65 (57%),29/37 (78%),14/28 (50%),10/13 (77%),3/9 (33%),33/73 (45%),26,19,76,108 mph,100 mph,82 mph,44,26,6,82,41,15
E.Alexandrova,B.Krejcikova,french_open,2021,2,95,1,5,24/44 (55%),16/24 (67%),5/20 (25%),2/6 (33%),1/2 (50%),17/51 (33%),9,29,38,na,na,na,na,na,na
B.Krejcikova,E.Alexandrova,french_open,2021,2,95,6,3,27/51 (53%),23/27 (85%),11/24 (46%),6/7 (86%),4/7 (57%),23/44 (52%),11,19,57,na,na,na,na,na,na
A.Li,E.Svitolina,french_open,2021,2,117,2,3,43/64 (67%),23/43 (53%),7/21 (33%),3/6 (50%),1/4 (25%),19/53 (36%),17,28,49,109 mph,98 mph,80 mph,26,16,7,58,40,19
E.Svitolina,A.Li,french_open,2021,2,117,1,1,31/53 (58%),23/31 (74%),11/22 (50%),9/14 (64%),5/9 (56%),34/64 (53%),19,20,68,108 mph,100 mph,82 mph,32,24,12,58,40,19
S.Kenin,H.Baptiste,french_open,2021,2,135,1,4,38/66 (58%),27/38 (71%),14/28 (50%),2/4 (50%),5/12 (42%),33/69 (48%),20,22,74,96 mph,93 mph,88 mph,52,18,3,95,31,8
H.Baptiste,S.Kenin,french_open,2021,2,135,5,10,34/69 (49%),23/34 (68%),13/35 (37%),8/13 (62%),2/7 (29%),25/66 (38%),20,32,61,116 mph,108 mph,88 mph,43,13,5,95,31,8
T.Martincova,J.Pegula,french_open,2021,2,142,1,2,52/69 (75%),26/52 (50%),8/17 (47%),8/13 (62%),1/6 (17%),29/73 (40%),17,26,63,na,na,na,na,na,na
J.Pegula,T.Martincova,french_open,2021,2,142,1,4,47/73 (64%),34/47 (72%),10/26 (38%),11/16 (69%),4/9 (44%),35/69 (51%),22,25,79,na,na,na,na,na,na
M.Sakkari,J.Paolini,french_open,2021,2,118,5,1,32/46 (70%),26/32 (81%),6/14 (43%),3/5 (60%),5/14 (36%),37/72 (51%),29,20,69,110 mph,100 mph,85 mph,46,15,8,78,26,14
J.Paolini,M.Sakkari,french_open,2021,2,118,0,1,55/72 (76%),27/55 (49%),8/17 (47%),4/5 (80%),1/3 (33%),14/46 (30%),12,18,49,98 mph,88 mph,75 mph,32,11,6,78,26,14
Z.Diyas,E.Mertens,french_open,2021,2,183,0,3,63/98 (64%),39/63 (62%),15/35 (43%),15/20 (75%),3/6 (50%),30/85 (35%),28,30,84,105 mph,93 mph,83 mph,33,31,20,80,58,45
E.Mertens,Z.Diyas,french_open,2021,2,183,3,6,50/85 (59%),37/50 (74%),18/35 (51%),13/15 (87%),5/13 (38%),44/98 (45%),39,31,99,116 mph,100 mph,81 mph,47,27,25,80,58,45
M.Kostyuk,S.Zheng,french_open,2021,2,142,3,1,47/78 (60%),29/47 (62%),16/31 (52%),16/23 (70%),4/6 (67%),32/64 (50%),34,28,77,na,na,na,na,na,na
S.Zheng,M.Kostyuk,french_open,2021,2,142,0,2,41/64 (64%),23/41 (56%),9/23 (39%),15/26 (58%),2/7 (29%),33/78 (42%),19,24,65,na,na,na,na,na,na
V.Gracheva,C.Giorgi,french_open,2021,2,181,2,3,48/84 (57%),32/48 (67%),19/36 (53%),3/5 (60%),4/13 (31%),39/97 (40%),20,31,90,na,na,na,na,na,na
C.Giorgi,V.Gracheva,french_open,2021,2,181,0,5,54/97 (56%),35/54 (65%),23/43 (53%),12/14 (86%),3/5 (60%),33/84 (39%),34,47,91,na,na,na,na,na,na
A.Kontaveit,K.Mladenovic,french_open,2021,2,77,3,1,17/40 (43%),13/17 (76%),18/23 (78%),5/7 (71%),5/9 (56%),23/37 (62%),20,12,54,106 mph,99 mph,80 mph,37,14,3,52,20,5
K.Mladenovic,A.Kontaveit,french_open,2021,2,77,0,5,20/37 (54%),10/20 (50%),4/17 (24%),2/6 (33%),0/2 (0%),9/40 (23%),7,25,23,103 mph,95 mph,75 mph,15,6,2,52,20,5
R.Peterson,I.Swiatek,french_open,2021,2,89,1,3,34/48 (71%),16/34 (47%),2/14 (14%),1/6 (17%),1/4 (25%),13/41 (32%),7,23,31,108 mph,100 mph,90 mph,21,6,4,46,31,12
I.Swiatek,R.Peterson,french_open,2021,2,89,2,1,25/41 (61%),20/25 (80%),8/16 (50%),5/5 (100%),6/15 (40%),30/48 (63%),22,12,58,110 mph,100 mph,77 mph,25,25,8,46,31,12
S.Williams,M.Buzarnescu,french_open,2021,2,171,5,2,52/82 (63%),39/52 (75%),18/30 (60%),6/12 (50%),5/14 (36%),40/89 (45%),26,27,97,118 mph,100 mph,82 mph,64,23,10,105,46,20
M.Buzarnescu,S.Williams,french_open,2021,2,171,0,7,54/89 (61%),33/54 (61%),16/35 (46%),5/6 (83%),2/7 (29%),25/82 (30%),25,28,74,100 mph,92 mph,83 mph,41,23,10,105,46,20
D.Collins,A.Kalinina,french_open,2021,2,97,6,5,21/47 (45%),17/21 (81%),13/26 (50%),2/2 (100%),6/8 (75%),32/50 (64%),28,22,62,106 mph,97 mph,78 mph,47,12,2,71,20,5
A.Kalinina,D.Collins,french_open,2021,2,97,0,2,31/50 (62%),13/31 (42%),5/19 (26%),2/2 (100%),1/3 (33%),17/47 (36%),6,19,35,108 mph,91 mph,81 mph,24,8,3,71,20,5
E.Rybakina,N.Hibino,french_open,2021,2,98,4,0,27/41 (66%),24/27 (89%),9/14 (64%),8/10 (80%),4/7 (57%),30/57 (53%),20,16,63,116 mph,105 mph,80 mph,40,18,5,58,29,11
N.Hibino,E.Rybakina,french_open,2021,2,98,1,3,32/57 (56%),18/32 (56%),9/25 (36%),3/3 (100%),0/0 (0%),8/41 (20%),9,15,35,98 mph,91 mph,75 mph,18,11,6,58,29,11
E.Vesnina,P.Kvitova,french_open,2021,2,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
P.Kvitova,E.Vesnina,french_open,2021,2,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
V.Azarenka,C.Tauson,french_open,2021,2,145,2,7,43/70 (61%),31/43 (72%),10/27 (37%),8/12 (67%),5/13 (38%),35/75 (47%),18,27,76,105 mph,97 mph,77 mph,43,22,11,79,49,16
C.Tauson,V.Azarenka,french_open,2021,2,145,2,4,46/75 (61%),27/46 (59%),13/29 (45%),6/10 (60%),3/4 (75%),29/70 (41%),19,32,69,108 mph,95 mph,81 mph,36,27,5,79,49,16
L.Fernandez,M.Keys,french_open,2021,2,144,0,6,45/77 (58%),22/45 (49%),15/32 (47%),7/10 (70%),2/8 (25%),25/67 (37%),6,23,62,101 mph,90 mph,83 mph,41,17,4,94,43,7
M.Keys,L.Fernandez,french_open,2021,2,144,6,2,41/67 (61%),29/41 (71%),13/26 (50%),4/7 (57%),5/14 (36%),40/77 (52%),31,31,82,117 mph,103 mph,80 mph,53,26,3,94,43,7
A.Pavlyuchenkova,A.Tomljanovic,french_open,2021,2,128,3,4,41/62 (66%),31/41 (76%),7/21 (33%),9/13 (69%),5/12 (42%),35/66 (53%),20,25,73,108 mph,98 mph,82 mph,44,19,10,77,31,20
A.Tomljanovic,A.Pavlyuchenkova,french_open,2021,2,128,2,6,36/66 (55%),21/36 (58%),10/30 (33%),3/7 (43%),1/4 (25%),24/62 (39%),11,25,55,111 mph,100 mph,79 mph,33,12,10,77,31,20
A.Sasnovich,A.Sabalenka,french_open,2021,2,137,0,5,37/59 (63%),14/37 (38%),8/22 (36%),8/11 (73%),6/12 (50%),41/78 (53%),15,19,63,105 mph,90 mph,82 mph,43,17,3,93,35,9
A.Sabalenka,A.Sasnovich,french_open,2021,2,137,3,5,48/78 (62%),30/48 (63%),7/30 (23%),9/13 (69%),8/11 (73%),37/59 (63%),27,34,74,119 mph,103 mph,94 mph,50,18,6,93,35,9
T.Zidansek,M.Brengle,french_open,2021,2,117,1,4,47/68 (69%),31/47 (66%),9/21 (43%),8/11 (73%),5/6 (83%),27/49 (55%),28,24,67,103 mph,92 mph,76 mph,36,24,7,65,39,13
M.Brengle,T.Zidansek,french_open,2021,2,117,0,2,41/49 (84%),21/41 (51%),1/8 (13%),3/6 (50%),2/10 (20%),28/68 (41%),11,16,50,82 mph,75 mph,74 mph,29,15,6,65,39,13
K.Siniakova,V.Kudermetova,french_open,2021,2,251,4,10,75/120 (63%),48/75 (64%),23/45 (51%),8/11 (73%),5/13 (38%),54/131 (41%),27,43,125,107 mph,96 mph,88 mph,80,35,10,166,67,18
V.Kudermetova,K.Siniakova,french_open,2021,2,251,4,6,77/131 (59%),50/77 (65%),27/54 (50%),18/28 (64%),5/8 (63%),49/120 (41%),45,67,126,110 mph,101 mph,81 mph,86,32,8,166,67,18
S.Cirstea,M.Trevisan,french_open,2021,2,207,3,1,59/92 (64%),35/59 (59%),15/33 (45%),13/17 (76%),7/13 (54%),57/115 (50%),29,46,107,na,na,na,na,na,na
M.Trevisan,S.Cirstea,french_open,2021,2,207,0,10,75/115 (65%),42/75 (56%),16/40 (40%),13/14 (93%),7/13 (54%),42/92 (46%),26,28,100,na,na,na,na,na,na
D.Kasatkina,B.Bencic,french_open,2021,2,113,8,2,40/53 (75%),32/40 (80%),3/13 (23%),3/4 (75%),4/9 (44%),30/60 (50%),27,14,65,110 mph,92 mph,60 mph,39,21,5,65,35,13
